,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.49710914,0.2118863,0.0021260048,0.00420977
0,1,2,0.8577262,0.8165508,0.9227638,0.8664143
0,1,3,0.80438167,0.72378105,0.9844698,0.8342342
0,1,4,0.6982111,0.7804064,0.55164635,0.64638335
0,1,5,0.56820065,0.57761645,0.5075447,0.5403182
0,1,6,0.6151413,0.72420233,0.37192118,0.49145228
0,1,7,0.50385016,0.9279539,0.0083484575,0.01654804
0,2,1,0.5005445,0.5744681,0.0042001554,0.008339339
0,2,2,0.75661135,0.7661835,0.73863107,0.752155
0,2,3,0.76298934,0.68411595,0.97718436,0.8048002
0,2,4,0.76615244,0.8223583,0.6789733,0.7438188
0,2,5,0.572323,0.58525103,0.49649987,0.5372347
0,2,6,0.6338994,0.7458232,0.4062484,0.5259907
0,2,7,0.50391495,0.8932292,0.008892922,0.017610515
0,3,1,0.5000778,0.50663716,0.005937257,0.0117369685
0,3,2,0.7954887,0.7672592,0.84830177,0.80574775
0,3,3,0.7917812,0.71066225,0.98431426,0.82539785
0,3,4,0.70987815,0.8076543,0.5509723,0.65506613
0,3,5,0.5692507,0.57938534,0.5054187,0.53988034
0,3,6,0.6137413,0.73492557,0.3558206,0.4794913
0,3,7,0.51005965,0.94803697,0.021285973,0.041637085
0,4,1,0.5023075,0.6642066,0.009333679,0.018408673
0,4,2,0.5811641,0.5838624,0.5650765,0.57431585
0,4,3,0.7881903,0.70715845,0.9837698,0.8228393
0,4,4,0.788281,0.82791674,0.7278455,0.7746626
0,4,5,0.5669951,0.5799159,0.48615503,0.5289123
0,4,6,0.6240083,0.7435832,0.37855846,0.5017009
0,4,7,0.50464094,0.8995536,0.010448535,0.020657133
0,5,1,0.4993648,0.44235295,0.0048742546,0.009642262
0,5,2,0.7419497,0.7425408,0.7407311,0.7416349
0,5,3,0.8205989,0.7416316,0.9840031,0.8457964
0,5,4,0.74016076,0.8127701,0.6240861,0.7060393
0,5,5,0.5697044,0.5792764,0.50933367,0.5420581
0,5,6,0.6077003,0.6889556,0.39268863,0.5002477
0,5,7,0.50474465,0.9121622,0.010500389,0.020761779
0,6,1,0.5018927,0.6425781,0.008529945,0.016836394
0,6,2,0.7292066,0.74466556,0.6976147,0.7203727
0,6,3,0.794672,0.7135449,0.98462534,0.8274487
0,6,4,0.7644802,0.8304931,0.6646098,0.738349
0,6,5,0.45037594,0.41426268,0.23977184,0.30374095
0,6,6,0.6329142,0.753098,0.3954887,0.518623
0,6,7,0.5048483,0.9230769,0.0105781695,0.020916643
0,7,1,0.50246304,0.7111111,0.008296603,0.016401844
0,7,2,0.7820197,0.75112545,0.84353125,0.79465103
0,7,3,0.79182005,0.710647,0.9844957,0.8254513
0,7,4,0.7777288,0.8092022,0.72683436,0.7658099
0,7,5,0.57724917,0.5899526,0.5066373,0.54512995
0,7,6,0.643272,0.75755036,0.4214156,0.54156536
0,7,7,0.50444645,0.9597855,0.009281825,0.018385846
0,8,1,0.47933626,0.09665992,0.0049520354,0.009421398
0,8,2,0.782266,0.8272121,0.7135857,0.7662092
0,8,3,0.8183303,0.7391135,0.9839772,0.8441469
0,8,4,0.7810734,0.82481426,0.71374124,0.7652684
0,8,5,0.5774436,0.59005123,0.50744104,0.5456371
0,8,6,0.5736712,0.6688053,0.2918849,0.406404
0,8,7,0.5041224,0.91842103,0.009048483,0.01792041
0,9,1,0.48395127,0.15028249,0.0068965517,0.013187902
0,9,2,0.85234636,0.8053933,0.9292196,0.8628867
0,9,3,0.80810213,0.7276925,0.9846772,0.83690125
0,9,4,0.7259269,0.8141312,0.5855328,0.68116426
0,9,5,0.57604355,0.58855677,0.5053928,0.54381365
0,9,6,0.6102282,0.70119727,0.38415867,0.49637353
0,9,7,0.50452423,0.6890574,0.0164895,0.03220824
0,10,1,0.501426,0.6571429,0.005963184,0.011819117
0,10,2,0.6817475,0.7213871,0.5922219,0.65045416
0,10,3,0.7802567,0.69893444,0.98465127,0.81754875
0,10,4,0.74581283,0.794441,0.66323566,0.7229335
0,10,5,0.5736583,0.5860023,0.5018927,0.5406961
0,10,6,0.6335364,0.7494793,0.4011667,0.5226041
0,10,7,0.504252,0.95810056,0.008892922,0.017622277
