,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,1,1,Attack,0.99813324,0.49981174,0.99813324,0.6660842
1,1,1,Normal,0.0011148561,0.37391305,0.0011148561,0.002223084
0,1,2,Attack,0.7537983,0.7884261,0.7537983,0.77072346
1,1,2,Normal,0.7977184,0.7641566,0.7977184,0.7805769
0,1,3,Attack,0.63150114,0.9593147,0.63150114,0.76163226
1,1,3,Normal,0.97321755,0.72535264,0.97321755,0.8312002
0,1,4,Attack,0.8582577,0.68307126,0.8582577,0.76070875
1,1,4,Normal,0.60178894,0.80936605,0.60178894,0.6903105
0,1,5,Attack,0.6441016,0.5624278,0.6441016,0.60050035
1,1,5,Normal,0.49888515,0.5836392,0.49888515,0.5379444
0,1,6,Attack,0.8703915,0.5746786,0.8703915,0.6922784
1,1,6,Normal,0.3558206,0.7330022,0.3558206,0.4790812
0,1,7,Attack,0.9991185,0.52439207,0.9991185,0.68779284
1,1,7,Normal,0.0938294,0.99069256,0.0938294,0.17142315
0,2,1,Attack,0.9486907,0.48776293,0.9486907,0.64427584
1,2,1,Normal,0.0037075446,0.06738926,0.0037075446,0.0070284083
0,2,2,Attack,0.75182784,0.80848694,0.75182784,0.7791287
1,2,2,Normal,0.82190824,0.76808083,0.82190824,0.7940834
0,2,3,Attack,0.6213119,0.9765281,0.6213119,0.7594359
1,2,3,Normal,0.9850661,0.72231936,0.9850661,0.8334759
0,2,4,Attack,0.8183303,0.7179446,0.8183303,0.76485765
1,2,4,Normal,0.6785066,0.78879946,0.6785066,0.72950786
0,2,5,Attack,0.6263417,0.5583083,0.6263417,0.5903715
1,2,5,Normal,0.50448537,0.5744907,0.50448537,0.53721696
0,2,6,Attack,0.8620171,0.58347225,0.8620171,0.69590694
1,2,6,Normal,0.38462535,0.73597264,0.38462535,0.50521904
0,2,7,Attack,0.9990148,0.964723,0.9990148,0.9815695
1,2,7,Normal,0.963469,0.9989785,0.963469,0.9809025
0,3,1,Attack,0.9941405,0.5004372,0.9941405,0.66574645
1,3,1,Normal,0.0075965775,0.5645472,0.0075965775,0.01499143
0,3,2,Attack,0.8434016,0.70852935,0.8434016,0.7701049
1,3,2,Normal,0.6530464,0.8065838,0.6530464,0.7217399
0,3,3,Attack,0.5651802,0.9753904,0.5651802,0.71567166
1,3,3,Normal,0.9857402,0.6939096,0.9857402,0.8144728
0,3,4,Attack,0.8534094,0.67108405,0.8534094,0.7513439
1,3,4,Normal,0.58172154,0.79872555,0.58172154,0.67316717
0,3,5,Attack,0.64884627,0.5633695,0.64884627,0.6030943
1,3,5,Normal,0.4971221,0.5860383,0.4971221,0.53793067
0,3,6,Attack,0.8505056,0.5714485,0.8505056,0.6835947
1,3,6,Normal,0.36217266,0.70782876,0.36217266,0.47916993
0,3,7,Attack,0.99948144,0.9666015,0.99948144,0.98276657
1,3,7,Normal,0.96546537,0.9994632,0.96546537,0.9821701
0,4,1,Attack,0.99520355,0.5017975,0.99520355,0.6671881
1,4,1,Normal,0.011926368,0.7131783,0.011926368,0.023460412
0,4,2,Attack,0.8029816,0.65695864,0.8029816,0.7226676
1,4,2,Normal,0.5807104,0.74667466,0.5807104,0.6533172
0,4,3,Attack,0.5774695,0.97530323,0.5774695,0.7254222
1,4,3,Normal,0.98537725,0.6998877,0.98537725,0.818451
0,4,4,Attack,0.85983926,0.69816005,0.85983926,0.77061063
1,4,4,Normal,0.6282603,0.817599,0.6282603,0.7105325
0,4,5,Attack,0.61820066,0.5560634,0.61820066,0.585488
1,4,5,Normal,0.5064558,0.57016927,0.5064558,0.53642726
0,4,6,Attack,0.8700544,0.5752044,0.8700544,0.6925529
1,4,6,Normal,0.35745397,0.7333901,0.35745397,0.48064288
0,4,7,Attack,0.9996111,0.5025483,0.9996111,0.66884094
1,4,7,Normal,0.010526316,0.96437055,0.010526316,0.020825319
0,5,1,Attack,0.99572206,0.5022034,0.99572206,0.6676634
1,5,1,Normal,0.013015297,0.7526237,0.013015297,0.025588095
0,5,2,Attack,0.68584394,0.9017556,0.68584394,0.7791179
1,5,2,Normal,0.9252787,0.7465328,0.9252787,0.82635015
0,5,3,Attack,0.61252266,0.9838011,0.61252266,0.7549853
1,5,3,Normal,0.9899144,0.71868765,0.9899144,0.8327735
0,5,4,Attack,0.8619393,0.67939836,0.8619393,0.7598596
1,5,4,Normal,0.59325904,0.81121707,0.59325904,0.68532574
0,5,5,Attack,0.618434,0.55528915,0.618434,0.585163
1,5,5,Normal,0.5047187,0.56947696,0.5047187,0.53514594
0,5,6,Attack,0.870573,0.5957032,0.870573,0.7073744
1,5,6,Normal,0.40915218,0.7596881,0.40915218,0.53185713
0,5,7,Attack,0.9989111,0.50504017,0.9989111,0.67088634
