,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,1,1,Attack,0.9942442,0.51151127,0.9942442,0.6754976
1,1,1,Normal,0.050505575,0.89769584,0.050505575,0.09563083
0,1,2,Attack,0.554965,0.4543332,0.554965,0.4996324
1,1,2,Normal,0.3334716,0.42834783,0.3334716,0.37500182
0,1,3,Attack,0.5006482,0.9937217,0.5006482,0.6658391
1,1,3,Normal,0.9968369,0.66625077,0.9968369,0.7986871
0,1,4,Attack,0.84892404,0.6848711,0.84892404,0.75812405
1,1,4,Normal,0.60938555,0.80133647,0.60938555,0.69230205
0,1,5,Attack,0.27383977,0.9553184,0.27383977,0.42566395
1,1,5,Normal,0.9871921,0.57617575,0.9871921,0.72765493
0,1,6,Attack,0.73186415,0.52325433,0.73186415,0.610223
1,1,6,Normal,0.33318642,0.5540896,0.33318642,0.41613913
0,1,7,Attack,0.93051594,0.9954237,0.93051594,0.9618761
1,1,7,Normal,0.99572206,0.9347694,0.99572206,0.96428347
0,2,1,Attack,0.9959554,0.50339407,0.9959554,0.6687674
1,2,1,Normal,0.017474722,0.8120482,0.017474722,0.0342132
0,2,2,Attack,0.8273529,0.6456449,0.8273529,0.7252912
1,2,2,Normal,0.5459165,0.759733,0.5459165,0.6353172
0,2,3,Attack,0.45289084,0.9912047,0.45289084,0.6217145
1,2,3,Normal,0.99598134,0.6454458,0.99598134,0.78328425
0,2,4,Attack,0.8568058,0.64916414,0.8568058,0.73867023
1,2,4,Normal,0.5369458,0.78946364,0.5369458,0.63916796
0,2,5,Attack,0.2490796,0.9480904,0.2490796,0.39451367
1,2,5,Normal,0.98636246,0.5677616,0.98636246,0.72068727
0,2,6,Attack,0.8447239,0.552211,0.8447239,0.66784185
1,2,6,Normal,0.31501168,0.66982746,0.31501168,0.42850342
0,2,7,Attack,0.9464091,0.9955816,0.9464091,0.97037286
1,2,7,Normal,0.99579984,0.94893146,0.99579984,0.9718009
0,3,1,Attack,0.9932331,0.5041587,0.9932331,0.6688258
1,3,1,Normal,0.023152709,0.7738302,0.023152709,0.044960223
0,3,2,Attack,0.5816697,0.5910169,0.5816697,0.58630604
1,3,2,Normal,0.59748507,0.58818275,0.59748507,0.59279746
0,3,3,Attack,0.498937,0.99308497,0.498937,0.6641817
1,3,3,Normal,0.9965258,0.6654202,0.9965258,0.79799026
0,3,4,Attack,0.8402385,0.71077967,0.8402385,0.7701063
1,3,4,Normal,0.65810215,0.80466,0.65810215,0.7240391
0,3,5,Attack,0.26945812,0.39865747,0.26945812,0.32156557
1,3,5,Normal,0.5935442,0.44826707,0.5935442,0.51077646
0,3,6,Attack,0.8703137,0.5677271,0.8703137,0.6871859
1,3,6,Normal,0.33733472,0.7223117,0.33733472,0.4598908
0,3,7,Attack,0.9464091,0.99544585,0.9464091,0.97030836
1,3,7,Normal,0.9956702,0.94892514,0.9956702,0.97173584
