,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,1,1,Attack,0.9917293,0.50104135,0.9917293,0.6657384
1,1,1,Normal,0.012393052,0.5997491,0.012393052,0.0242843
0,1,2,Attack,0.6991444,0.7317179,0.6991444,0.71506035
1,1,2,Normal,0.74366087,0.71196663,0.74366087,0.7274687
0,1,3,Attack,0.5137931,0.99358237,0.5137931,0.6773306
1,1,3,Normal,0.99668133,0.6721217,0.99668133,0.80284035
0,1,4,Attack,0.86668396,0.63341796,0.86668396,0.7319145
1,1,4,Normal,0.49841845,0.7889682,0.49841845,0.6109063
0,1,5,Attack,0.27798808,0.94358885,0.27798808,0.4294555
1,1,5,Normal,0.98338085,0.5766301,0.98338085,0.72697824
0,1,6,Attack,0.874462,0.56815577,0.874462,0.6887904
1,1,6,Normal,0.33533835,0.7276103,0.33533835,0.45909202
0,1,7,Attack,0.9412756,0.99613124,0.9412756,0.96792686
1,1,7,Normal,0.9963443,0.9443407,0.9963443,0.9696458
0,2,1,Attack,0.9915997,0.49933416,0.9915997,0.6642006
1,2,1,Normal,0.0057557686,0.4065934,0.0057557686,0.011350853
0,2,2,Attack,0.8362458,0.8223446,0.8362458,0.829237
1,2,2,Normal,0.8193415,0.83343005,0.8193415,0.8263258
0,2,3,Attack,0.5054965,0.9924158,0.5054965,0.6698159
1,2,3,Normal,0.9961369,0.66826105,0.9961369,0.7999043
0,2,4,Attack,0.862406,0.7362328,0.862406,0.7943403
1,2,4,Normal,0.6910293,0.8339487,0.6910293,0.7557919
0,2,5,Attack,0.28532538,0.9508381,0.28532538,0.43893585
1,2,5,Normal,0.9852476,0.57958394,0.9852476,0.72983414
0,2,6,Attack,0.9708322,0.5728513,0.9708322,0.7205395
1,2,6,Normal,0.27609542,0.9044505,0.27609542,0.42304942
0,2,7,Attack,0.9408348,0.9956102,0.9408348,0.96744776
1,2,7,Normal,0.9958517,0.9439202,0.9958517,0.9691908
0,3,1,Attack,0.9870884,0.5005522,0.9870884,0.6642589
1,3,1,Normal,0.015089448,0.5388889,0.015089448,0.029356873
0,3,2,Attack,0.45719472,0.52222586,0.45719472,0.48755136
1,3,2,Normal,0.58172154,0.5173034,0.58172154,0.5476245
0,3,3,Attack,0.5367384,0.99352115,0.5367384,0.69695485
1,3,3,Normal,0.9964999,0.6826457,0.9964999,0.8102411
0,3,4,Attack,0.86515427,0.6304245,0.86515427,0.72936904
1,3,4,Normal,0.49281827,0.78516257,0.49281827,0.60555285
0,3,5,Attack,0.27508426,0.94269216,0.27508426,0.42589062
1,3,5,Normal,0.98327714,0.57562417,0.98327714,0.72615
0,3,6,Attack,0.8818771,0.5638552,0.8818771,0.687888
1,3,6,Normal,0.3178636,0.72906756,0.3178636,0.44271114
0,3,7,Attack,0.94112,0.99574804,0.94112,0.96766365
1,3,7,Normal,0.99598134,0.9441823,0.99598134,0.96939033
