,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,1,1,Attack,0.9842365,0.499454,0.9842365,0.66264606
1,1,1,Normal,0.013611616,0.46337157,0.013611616,0.026446365
0,1,2,Attack,0.7679025,0.655396,0.7679025,0.7072026
1,1,2,Normal,0.5962406,0.71980345,0.5962406,0.6522214
0,1,3,Attack,0.61721545,0.9746571,0.61721545,0.75580597
1,1,3,Normal,0.9839513,0.7199279,0.9839513,0.83148384
0,1,4,Attack,0.8456572,0.6786725,0.8456572,0.7530186
1,1,4,Normal,0.5996111,0.79528886,0.5996111,0.68372506
0,1,5,Attack,0.62037855,0.55769724,0.62037855,0.5873704
1,1,5,Normal,0.5079855,0.572309,0.5079855,0.53823227
0,1,6,Attack,0.8421571,0.55684704,0.8421571,0.67040926
1,1,6,Normal,0.32979,0.676308,0.32979,0.4433755
0,1,7,Attack,0.9993259,0.5023787,0.9993259,0.6686269
1,1,7,Normal,0.010137413,0.9376499,0.010137413,0.020057967
0,2,1,Attack,0.9069743,0.47950763,0.9069743,0.6273447
1,2,1,Normal,0.015504278,0.14285715,0.015504278,0.027972681
0,2,2,Attack,0.7626653,0.6283322,0.7626653,0.6890123
1,2,2,Normal,0.5488722,0.6981269,0.5488722,0.61456734
0,2,3,Attack,0.57407314,0.9737027,0.57407314,0.72229654
1,2,3,Normal,0.9844957,0.6980147,0.9844957,0.8168656
0,2,4,Attack,0.8571947,0.6276721,0.8571947,0.7246942
1,2,4,Normal,0.4915219,0.77487123,0.4915219,0.60149753
0,2,5,Attack,0.64583874,0.5677881,0.64583874,0.60430366
1,2,5,Normal,0.5083744,0.5893952,0.5083744,0.5458949
0,2,6,Attack,0.8312419,0.5647625,0.8312419,0.6725684
1,2,6,Normal,0.35939848,0.68047714,0.35939848,0.47036865
0,2,7,Attack,0.9991963,0.50531685,0.9991963,0.6711948
1,2,7,Normal,0.021830438,0.96449023,0.021830438,0.04269452
0,3,1,Attack,0.9759658,0.5014387,0.9759658,0.6624956
1,3,1,Normal,0.029634431,0.5521739,0.029634431,0.056250002
0,3,2,Attack,0.68501425,0.59522843,0.68501425,0.6369729
1,3,2,Normal,0.53417164,0.6290608,0.53417164,0.577746
0,3,3,Attack,0.62483793,0.9749191,0.62483793,0.76157373
1,3,3,Normal,0.98392534,0.72396034,0.98392534,0.83415765
0,3,4,Attack,0.86862844,0.6992028,0.86862844,0.7747612
1,3,4,Normal,0.6263158,0.8266151,0.6263158,0.7126589
0,3,5,Attack,0.64892405,0.56722945,0.64892405,0.60533285
1,3,5,Normal,0.50490016,0.5898531,0.50490016,0.54408044
0,3,6,Attack,0.8582577,0.5681943,0.8582577,0.6837344
1,3,6,Normal,0.3477573,0.7104343,0.3477573,0.46694514
0,3,7,Attack,0.9991185,0.96513724,0.9991185,0.98183393
1,3,7,Normal,0.96390975,0.9990863,0.96390975,0.9811829
