,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,1,1,Attack,0.6322012,0.5431219,0.6322012,0.58428586
1,1,1,Normal,0.46818772,0.5600422,0.46818772,0.51001215
0,1,2,Attack,0.49061447,0.3682449,0.49061447,0.4207121
1,1,2,Normal,0.15830956,0.23709859,0.15830956,0.18985432
0,1,3,Attack,0.2642209,0.98378223,0.2642209,0.41656277
1,1,3,Normal,0.9956443,0.5750438,0.9956443,0.72902966
0,1,4,Attack,0.34519055,0.25878558,0.34519055,0.2958075
1,1,4,Normal,0.011304122,0.016970264,0.011304122,0.01356945
0,1,5,Attack,0.3906404,0.44690633,0.3906404,0.4168834
1,1,5,Normal,0.51654136,0.45878047,0.51654136,0.48595053
0,1,6,Attack,0.5433238,0.41203302,0.5433238,0.46865705
1,1,6,Normal,0.22468239,0.32975647,0.22468239,0.26726294
0,1,7,Attack,0.4394348,0.97993755,0.4394348,0.6067734
1,1,7,Normal,0.9910034,0.6387106,0.9910034,0.7767797
0,2,1,Attack,0.58190304,0.38897073,0.58190304,0.4662671
1,2,1,Normal,0.08589578,0.17043057,0.08589578,0.11422365
0,2,2,Attack,0.5180192,0.42741624,0.5180192,0.4683764
1,2,2,Normal,0.30604097,0.38836613,0.30604097,0.34232354
0,2,3,Attack,0.28918847,0.99137855,0.28918847,0.44776297
1,2,3,Normal,0.9974851,0.5839063,0.9974851,0.7366144
0,2,4,Attack,0.2831475,0.22417687,0.2831475,0.25023487
1,2,4,Normal,0.020093337,0.02726569,0.020093337,0.023136402
0,2,5,Attack,0.35457608,0.4219555,0.35457608,0.38534257
1,2,5,Normal,0.5142598,0.44344833,0.5142598,0.47623622
0,2,6,Attack,0.7052113,0.47286257,0.7052113,0.56612414
1,2,6,Normal,0.21384495,0.4204302,0.21384495,0.28349486
0,2,7,Attack,0.48895514,0.98213726,0.48895514,0.6528768
1,2,7,Normal,0.9911071,0.6597915,0.9911071,0.7922037
0,3,1,Attack,0.31651542,0.76510406,0.31651542,0.44778636
1,3,1,Normal,0.902826,0.5691357,0.902826,0.6981575
0,3,2,Attack,0.30497795,0.25655958,0.30497795,0.27868134
1,3,2,Normal,0.116256155,0.1433,0.116256155,0.1283692
0,3,3,Attack,0.23546799,0.9817317,0.23546799,0.37983313
1,3,3,Normal,0.99561834,0.5656439,0.99561834,0.7214232
0,3,4,Attack,0.05571688,0.05359637,0.05571688,0.054636057
1,3,4,Normal,0.01615245,0.016817838,0.01615245,0.01647843
0,3,5,Attack,0.3631579,0.4277077,0.3631579,0.39279854
1,3,5,Normal,0.5140783,0.4466671,0.5140783,0.47800773
0,3,6,Attack,0.5887218,0.4872224,0.5887218,0.5331846
1,3,6,Normal,0.3803993,0.48049778,0.3803993,0.42462918
0,3,7,Attack,0.43889034,0.98116267,0.43889034,0.60648835
1,3,7,Normal,0.99157375,0.6386194,0.99157375,0.77688736
